Source,Category,Date Range,Geo,Question Seed,Question Query,Indexed Searches within Question Seed,Rising,Is question
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where did the coronavirus,,Breakout,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where the coronavirus come from,,Breakout,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where did coronavirus originate,,Breakout,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where did the coronavirus come from,,Breakout,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where coronavirus in usa,,Breakout,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where did coronavirus start,,Breakout,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,is,is the coronavirus,100,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,is,is coronavirus deadly,16,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,is,is there a coronavirus cure,11,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,is,is there cure for coronavirus,10,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,is,is coronavirus new,9,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,is,is coronavirus airborne,9,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,is,is coronavirus the flu,9,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,is,is there a cure for coronavirus,9,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,is,is coronavirus dangerous,7,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,is,is the coronavirus,,Breakout,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,is,is coronavirus deadly,,Breakout,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,is,is there a coronavirus cure,,Breakout,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,is,is there cure for coronavirus,,Breakout,Yes
